speaker_dir	sex	gender_source	decision	rel_path	client_id	n_clips	clips
f_1_1	F	self_reported	female	female/f_1/f_1_1	005ce52c025b621f7942751c3dd418f0e7d1e9f55b54278d16c3b853e2a8af9771892aad1021e772b06805b5e487d89cc7a2ec86ae94d86dc936e12679eb9a87	10	common_voice_en_24978603.mp3,common_voice_en_24978606.mp3,common_voice_en_24978608.mp3,common_voice_en_24978609.mp3,common_voice_en_24978612.mp3,common_voice_en_24978982.mp3,common_voice_en_24978983.mp3,common_voice_en_24978984.mp3,common_voice_en_24978985.mp3,common_voice_en_24978986.mp3
f_1_2	F	self_reported	female	female/f_1/f_1_2	00629ef5283de6396fb220d873d360b001eee93946c70473d949026bc9473a79275502f92d1000fedafed7fd5770c8cec6e425b53d3602ea2b49cb5dc5ff4fb0	10	common_voice_en_24510900.mp3,common_voice_en_24510901.mp3,common_voice_en_24510903.mp3,common_voice_en_24510904.mp3,common_voice_en_24510905.mp3,common_voice_en_24510906.mp3,common_voice_en_24510907.mp3,common_voice_en_24510908.mp3,common_voice_en_24510909.mp3,common_voice_en_24510910.mp3
f_1_3	F	self_reported	female	female/f_1/f_1_3	0100a7d69bf3f61b13aae54d0b6cdf3f326ee78c843324aa13161c246cc16ffbd88eac50c277ad226ca63028311d23de533d913b9e542d1f37f4145f9b1d340a	10	common_voice_en_27620077.mp3,common_voice_en_27620078.mp3,common_voice_en_27620079.mp3,common_voice_en_27620080.mp3,common_voice_en_27620081.mp3,common_voice_en_27632117.mp3,common_voice_en_27632118.mp3,common_voice_en_27632120.mp3,common_voice_en_27632121.mp3,common_voice_en_27632122.mp3
f_1_4	F	self_reported	female	female/f_1/f_1_4	0176d1d6a4ea11a0ca11d67d19db2e53735e4032616dfffe136a0490d2dc054a73193b5c18140e4dbb26d7270e8e7299e57f49d1e8b010c05acda6c079476f02	10	common_voice_en_26881557.mp3,common_voice_en_26881558.mp3,common_voice_en_26881561.mp3,common_voice_en_26881678.mp3,common_voice_en_26881680.mp3,common_voice_en_26881681.mp3,common_voice_en_26881682.mp3,common_voice_en_26881763.mp3,common_voice_en_26881764.mp3,common_voice_en_26881765.mp3
f_1_5	F	self_reported	female	female/f_1/f_1_5	019b934834c8a795b50e3bb4535385efc69e4feed21fcb40dcda1cc6c5ad220f5315dc5b93b7db01e77b38a1d3b1ed0716b9e3ccaf55e501b3e9cfe31ff0f4a2	10	common_voice_en_27340057.mp3,common_voice_en_27340059.mp3,common_voice_en_27340062.mp3,common_voice_en_27340063.mp3,common_voice_en_27340064.mp3,common_voice_en_27340065.mp3,common_voice_en_27340067.mp3,common_voice_en_27340068.mp3,common_voice_en_27340070.mp3,common_voice_en_27340071.mp3
f_1_6	F	self_reported	female	female/f_1/f_1_6	01a0900de8e7651760714c775acb981d25b5234eb463b74d205e6e2227f088a1af89058dacf56dce040b758ba4d2b1c162a8d0b5eee039e1f8329b0a5928dfdc	10	common_voice_en_19629534.mp3,common_voice_en_19629536.mp3,common_voice_en_19629538.mp3,common_voice_en_19629540.mp3,common_voice_en_19629819.mp3,common_voice_en_19629820.mp3,common_voice_en_19629822.mp3,common_voice_en_19629823.mp3,common_voice_en_19629923.mp3,common_voice_en_19629924.mp3
f_1_7	F	self_reported	female	female/f_1/f_1_7	01a839a6705435e127b3ab7da1ad0f1a36dff421fe31d54a1a8311c7acb76aad419ea5d635ab7605730171a9d2168fbe88fbef78213d0a2f174d346358564b2f	10	common_voice_en_24018035.mp3,common_voice_en_24018036.mp3,common_voice_en_24018037.mp3,common_voice_en_24018038.mp3,common_voice_en_24018039.mp3,common_voice_en_24018040.mp3,common_voice_en_24018041.mp3,common_voice_en_24018042.mp3,common_voice_en_24018043.mp3,common_voice_en_24018044.mp3
f_1_8	F	self_reported	female	female/f_1/f_1_8	01a91c346576fabe7e66bd45b5fcf0adf04221371b43e99292b1c5a2f4370a733e25fa3c6f73ed8f8a65cb4c6d32a37ee152222128c531765069ea6c762d0908	10	common_voice_en_20158537.mp3,common_voice_en_20158538.mp3,common_voice_en_20158541.mp3,common_voice_en_20158546.mp3,common_voice_en_20158547.mp3,common_voice_en_20158564.mp3,common_voice_en_20158565.mp3,common_voice_en_20158568.mp3,common_voice_en_20469916.mp3,common_voice_en_20469917.mp3
f_1_9	F	self_reported	female	female/f_1/f_1_9	01a923085487529bef30ecc51bbc91ce1c325e02fe836624f8aee2377a645c67fedaa988c9245735b7b67f3135148893303aff3df956f4ce708c7489250eeb5a	10	common_voice_en_18627051.mp3,common_voice_en_18627053.mp3,common_voice_en_18639577.mp3,common_voice_en_18639594.mp3,common_voice_en_18639601.mp3,common_voice_en_18649939.mp3,common_voice_en_18649940.mp3,common_voice_en_18708317.mp3,common_voice_en_18708318.mp3,common_voice_en_18708319.mp3
f_1_10	F	self_reported	female	female/f_1/f_1_10	01daa7b00685d4af892600ebc814d3522fdf814e94ac1a57f30fc6d9161e63349e4a405d6ccc5c5772bc65ff32233ade7e7c6d4b9d6166eb067395774231a69c	10	common_voice_en_19786724.mp3,common_voice_en_19786727.mp3,common_voice_en_19791646.mp3,common_voice_en_19791648.mp3,common_voice_en_19791649.mp3,common_voice_en_19791650.mp3,common_voice_en_19791656.mp3,common_voice_en_19791657.mp3,common_voice_en_19791658.mp3,common_voice_en_19791660.mp3
