feature,Fstar,ICC,sigma_b2,sigma_w2,n,S
F0,31.49485560447168,0.9692258980260745,0.9707240539133638,0.030821670246855778,6300,630
SHR,15.630154067857186,0.9398682660473482,0.9412815052618211,0.0602221514372357,6300,630
IHI,8.885582842639623,0.8988425856200724,0.9001413013842345,0.10130357426467156,6300,630
F4,6.791827478770478,0.8716604028099199,0.8728858990906765,0.12852003408789392,6300,630
GCT,4.061816099301055,0.8024424474571327,0.8034910647735638,0.19781571718912289,6300,630
MFDR,3.999778071196413,0.7999911224538199,0.8010337276229604,0.20026954330077504,6300,630
RMS,3.530170601886465,0.7792577613779982,0.7802502049426183,0.22102337052086532,6300,630
F3,3.41979913242222,0.7737453739324209,0.7747246884534225,0.2265409921619257,6300,630
F5,3.417302198573582,0.7736174807503738,0.7745964916980321,0.22666900575002027,6300,630
spectral_flux,3.2302117419899825,0.7636052138776444,0.7645606047954414,0.23669055339524936,6300,630
B2,2.4403318371170655,0.7093303648179528,0.7101627176010654,0.2910107169851254,6300,630
CQ,2.065381961463604,0.6737763800493765,0.6745327118892916,0.32658981460808995,6300,630
SSPF,1.6800297328929537,0.6268698112835668,0.6275368942797378,0.3735272549011027,5935,630
CPP,1.5102944897264154,0.6016403636734331,0.6022535881493585,0.3987656660645399,6300,630
GNE,1.2785498132836337,0.5611243633252445,0.5616637494639514,0.4392975100606047,6300,630
B1,1.218497499821628,0.54924447736344,0.5497631047041948,0.4511811512002879,6300,630
SPI,1.1954314721068102,0.5445086705255409,0.5450191352776242,0.4559183424517767,6300,630
B3,1.0579336037439917,0.5140756736851455,0.5145352174254979,0.48635870493627853,6300,630
F1,1.0014203252323404,0.5003548293215658,0.5007922827846435,0.500082003696554,6300,630
B5,0.9973472197747302,0.4993359241200013,0.49977175867482293,0.5011010696833404,6300,630
LHR,0.9787534821771534,0.4946313378563281,0.49505973599470926,0.5058063598338278,6300,630
spectral_entropy,0.9635438749363769,0.49071675312964314,0.49113901190475734,0.5097214820001709,6300,630
B4,0.9170062734739454,0.4783532981413629,0.4787564551285036,0.5220863466013206,6300,630
semitone_SD_F0,0.9062311226646851,0.475404641068855,0.4758033069752553,0.5250352753017372,6300,630
F2,0.8481221411324219,0.4589102214925805,0.4592842240717939,0.5415307557689186,6300,630
SQ,0.8285943691169946,0.4531318607948642,0.4534974075448427,0.5473093041027056,6300,630
spectral_skewness,0.7912317757456099,0.4417249551171318,0.44207409011850657,0.5587162999134131,6300,630
Nasality,0.7664095635875112,0.4338798766640293,0.43421794075608966,0.56656122442359,6300,630
VFI,0.736664677610814,0.42418360153686524,0.3920299774458127,0.532168827094117,6300,630
shimmer,0.7353927479991685,0.423761565701507,0.42408561113868914,0.5766790769864495,6300,630
jitter,0.6414617725861953,0.39078690914351544,0.3910673032939575,0.6096502083316407,6300,630
spectral_kurtosis,0.6251386948087823,0.3846679036107362,0.3849405399559161,0.6157682177611192,6300,630
speech_rate,0.536973318915296,0.3493706184140267,0.34960059653879416,0.6510576675299231,6300,630
spectral_rolloff,0.4650342388214877,0.31742209601570376,0.3176165377779473,0.6829960275244819,6300,630
alpha_ratio,0.33707722298808146,0.2521000411889345,0.25223091702038697,0.7482882254233638,6300,630
dCPP,0.32453278615301767,0.2450168010529909,0.24514151782002785,0.7553674953027497,6300,630
AMD,0.23229200467682587,0.1885040264768621,0.18858474482581616,0.8118434600802682,6300,630
NAQ,0.15166014094943478,0.13168827812726533,0.1317339708810822,0.8686130057402743,6300,630
VOT,0.10417641610695519,0.09434761926382625,0.0943759004167921,0.9059238543961701,6062,630
BGD,0.058640993455750634,0.0553927099160663,0.05540588890493777,0.9448320302886067,6300,630
