feature,Fstar,ICC,sigma_b2,sigma_w2,n,S
F0,4.1708832307766155,0.8066094407144812,0.8100943166675574,0.19422608398382765,1920,192
RMS,3.5705985973627765,0.7812102772321776,0.7844916146386683,0.21970871080778706,1920,192
MFDR,3.225806334063626,0.763358772043304,0.7665007179492238,0.23761523122302397,1920,192
spectral_flux,3.1071875987408686,0.7565243914578998,0.7596137721310618,0.24446987766006842,1920,192
IHI,2.243697455778351,0.6917098423533331,0.6943227337868526,0.30945470477702536,1920,192
F4,2.118719513979381,0.6793555831110847,0.681882169726175,0.32183692330537106,1920,192
SHR,1.7212635337691142,0.6325236466109773,0.6347362024020274,0.3687617787452466,1920,192
F5,1.555832811815407,0.6087381007955287,0.61079911608779,0.3925866014967801,1920,192
SQ,1.1343961606704995,0.5314834151098455,0.5330891659537345,0.4699320964191603,1920,192
B3,1.1317854592472762,0.5309096439971519,0.5325122247814892,0.4705063317703785,1920,192
CPP,1.0473534250312206,0.5115645458307958,0.513062067361325,0.4898652690671547,1920,192
GNE,1.0443470668974284,0.5108462666676092,0.5123399554890807,0.49058399427611044,1920,192
B1,1.0043017212487872,0.5010731221759634,0.5025151464712334,0.5003627255028368,1920,192
LHR,0.9933559691537515,0.49833345600357837,0.49976115939474164,0.5031037965378036,1920,192
F3,0.8744059491480534,0.46649763864945293,0.467764129214414,0.5349507624807031,1920,192
B4,0.8663529606360204,0.4641956687232314,0.46545087361355825,0.5372531690453903,1920,192
GCT,0.8300438424342333,0.4535650038472031,0.45476873999707523,0.5478852040675283,1920,192
spectral_entropy,0.8280238179858196,0.452961175800305,0.4541620205325712,0.5484890780525217,1920,192
B5,0.8006750151435655,0.4446527043525001,0.4458141138191422,0.5567978335619792,1920,192
spectral_skewness,0.7847541153012869,0.4396987285662101,0.44083693476008057,0.5617516699365535,1920,192
spectral_kurtosis,0.6675823686372291,0.4003294716906766,0.4012915190424227,0.6011116199212992,1920,192
jitter,0.6466740216984553,0.392715263116525,0.3936449288848992,0.6087223480092976,1920,192
B2,0.6308699173434323,0.38683031101037973,0.38773532419194956,0.6146042369949851,1920,192
semitone_SD_F0,0.5835871961360408,0.3685223002307646,0.36935270913641205,0.6329006386396314,1920,192
Nasality,0.5586085778418315,0.35840209388256,0.3591926205003467,0.6430130770423851,1920,192
CQ,0.5264153966799376,0.3448703398989087,0.34560904919140467,0.6565329421805194,1920,192
speech_rate,0.49308562768886355,0.3302460478787859,0.3309306977189474,0.6711424530259565,1920,192
VFI,0.44397099845664156,0.3074653153914938,0.27453509369847645,0.6183626738071444,1920,192
shimmer,0.4406115932780552,0.3058503730873502,0.3064493304357102,0.695509004099945,1920,192
SSPF,0.4391959931785297,0.3051676041763745,0.3057733501690915,0.6962116114861664,1810,192
SPI,0.40840770237477114,0.2899783221052675,0.29052453924330124,0.711359108934494,1920,192
spectral_rolloff,0.3055544978856233,0.23404193266575704,0.2344212038784657,0.7671993228723979,1920,192
AMD,0.2840145502471121,0.22119262604341414,0.22153770952213997,0.780022394378693,1920,192
F2,0.2692049238811177,0.2121051682165813,0.21242701134894185,0.7890903638996986,1920,192
F1,0.24046489151118275,0.19385062258250538,0.19412813032242013,0.8073034242231252,1920,192
dCPP,0.2387273748197878,0.19271986691544477,0.19299473149993976,0.8084315074700963,1920,192
alpha_ratio,0.20248589891900481,0.1683894165420426,0.16861032282734567,0.8327015546637669,1920,192
VOT,0.12807292238466753,0.11353248521729455,0.11365409525744466,0.8874170522640542,1858,192
NAQ,0.10947337821577344,0.0986714781672596,0.09876860285435116,0.9022157209735227,1920,192
BGD,0.06442573108556951,0.06052628117122275,0.06057501681774178,0.9402301812809348,1920,192
